year,age,total,open_interval
2014,12,2,TRUE
2014,13,17,FALSE
2014,14,117,FALSE
2014,15,375,FALSE
2014,16,878,FALSE
2014,17,1489,FALSE
2014,18,2309,FALSE
2014,19,3365,FALSE
2014,20,4245,FALSE
2014,21,4978,FALSE
2014,22,5884,FALSE
2014,23,7047,FALSE
2014,24,8598,FALSE
2014,25,10443,FALSE
2014,26,12398,FALSE
2014,27,15151,FALSE
2014,28,18154,FALSE
2014,29,21710,FALSE
2014,30,25931,FALSE
2014,31,28896,FALSE
2014,32,31645,FALSE
2014,33,33473,FALSE
2014,34,33842,FALSE
2014,35,32549,FALSE
2014,36,29815,FALSE
2014,37,25391,FALSE
2014,38,20648,FALSE
2014,39,15868,FALSE
2014,40,11548,FALSE
2014,41,7609,FALSE
2014,42,4958,FALSE
2014,43,3095,FALSE
2014,44,1609,FALSE
2014,45,918,FALSE
2014,46,496,FALSE
2014,47,249,FALSE
2014,48,155,FALSE
2014,49,101,FALSE
2014,50,68,FALSE
2014,51,26,FALSE
2014,52,9,FALSE
2014,53,6,FALSE
2014,54,11,FALSE
2014,55,0,TRUE
